country,population,area_square_km,density_square_km,average_years_of_school,auto_demo_polity,gdp_per_capita,happiness_index,freedom_index,less_corruption_index,life_expectancy_years,inequality_gini,median_household_income_dollars,median_per_capita_income_dollars,median_individual_income_dollars
Slovakia,5460.721,49037,111.3592,9.46,10.0,23594.924,5.995,0.31751,0.03431,76.827,25.2,17415.0,5455.0,11480.0
Liberia,5180.203,111369,46.5139,0.99,6.0,781.90955,4.571,0.28531,0.06232,62.269,35.3,781.0,118.0,11480.0
Costa Rica,5139.052,51100,100.5685,3.62,10.0,13978.959,7.226,0.63376,0.10583,79.565,48.0,8929.0,2032.0,11700.0
Ireland,4982.907,70273,70.9078,7.01,10.0,67492.672,6.94,0.61777,0.28703,81.344,32.8,25085.0,8048.0,62210.0
New Zealand,4860.643,270467,17.9713,10.69,10.0,34812.035,7.286,0.63938,0.42922,81.713,36.2,35562.0,12147.0,42670.0
Mauritania,4775.119,1030700,4.6329,1.52,-2.0,3126.5208,4.436,0.24232,0.17461,63.936,32.6,6679.0,778.0,11480.0
Panama,4381.579,75417,58.098,4.69,9.0,20123.975,6.786,0.5421,0.0927,77.776,49.2,8356.0,2011.0,11480.0
Croatia,4081.651,56594,72.1216,6.74,9.0,20881.945,5.759,0.25883,0.0243,77.892,30.4,16231.0,5177.0,14910.0
Moldova,4024.019,33846,118.892,4.59,9.0,5453.4937,5.889,0.32818,0.01615,71.478,25.7,4158.0,1329.0,11480.0
Georgia,3979.765,69700,57.0985,3.38,7.0,12241.346,4.297,0.40577,0.38331,72.973,36.4,2591.0,734.0,11480.0
Uruguay,3485.151,181034,19.2514,5.24,10.0,19144.82,6.485,0.60362,0.24558,77.369,39.7,7949.0,2488.0,11480.0
Mongolia,3329.289,1564110,2.1286,2.78,10.0,10678.132,4.874,0.43626,0.02666,69.111,32.7,5922.0,1440.0,11480.0
Bosnia and Herzegovina,3263.466,51209,63.7284,3.38,7.5,10683.865,4.949,0.09245,0.00227,76.865,33.0,7383.0,2553.0,11480.0
Armenia,2968.127,29743,99.7925,8.34,5.0,9322.0488,4.35,0.19847,0.039,74.467,34.4,3865.0,926.0,11480.0
Qatar,2930.528,11586,252.937,3.26,-10.0,98941.203,6.611,0.6404,0.52208,79.758,41.1,26555.0,5117.0,11480.0
Albania,2872.933,28748,99.9351,3.31,9.0,11228.951,4.959,0.35733,0.06413,78.025,33.2,7314.0,1902.0,5240.0
Lithuania,2689.862,65300,41.1924,5.19,10.0,24076.557,5.833,0.21342,0.01031,74.923,37.3,12375.0,4719.0,11480.0
Botswana,2397.241,582000,4.119,1.34,8.0,14579.869,4.332,0.49495,0.12474,67.338,53.3,3603.0,740.0,11480.0
Slovenia,2078.724,20273,102.5366,7.59,10.0,25939.902,5.848,0.60855,0.03787,80.673,24.2,25969.0,8656.0,11480.0
Latvia,1866.942,64559,28.9184,5.15,8.0,21965.313,5.098,0.29671,0.06332,74.733,35.6,10461.0,4000.0,11480.0
Estonia,1325.185,45227,29.3007,7.25,9.0,23986.906,5.429,0.44888,0.15184,77.783,30.4,12577.0,5031.0,11480.0
Cyprus,1215.584,9251,131.4003,5.08,10.0,27196.199,5.689,0.40672,0.06146,80.35,31.4,18242.0,4932.0,11480.0
Comoros,888.451,1862,477.1488,3.38,9.0,2904.1687,3.956,0.22917,0.199,63.471,45.3,3912.0,598.0,11480.0
Luxembourg,634.814,2586,245.4811,5.85,10.0,69708.117,6.946,0.61583,0.37798,81.636,34.9,52493.0,18418.0,73910.0
Montenegro,628.053,13812,45.4715,3.38,9.0,15971.277,5.192,0.1826,0.14296,76.452,39.0,11519.0,3123.0,11480.0
Malta,442.784,316,1401.2152,3.38,7.5,27477.234,6.302,0.60365,0.13586,81.896,29.2,21141.0,6869.0,11480.0
Iceland,343.353,103000,3.3335,3.38,7.5,39502.172,7.561,0.62877,0.14145,82.481,26.8,7437.5,1790.5,72850.0
